食物名称	热量（千卡）	钙（毫克）	核黄素（毫克）	脂肪（克）	铁（毫克）	维生素C（毫克）	膳食纤维（克）	锌（毫克）	胆固醇（毫克）	胡萝卜素（微克）	磷（毫克）	钠（毫克）	硫胺素（毫克）	蛋白质（克）	镁（毫克）	烟酸（毫克）	碳水化合物（克）	锰（毫克）	维生素E（毫克）	维生素A（微克）	铜（毫克）	钾（毫克）	视黄醇当量（微克）	硒（微克）
豌豆粉丝	367	10	0	0	3.5	0	0.3	0.32	0	0.2	9	5	0.02	0.4	4	0	91.4	0.09	0	0	0.05	6	7.7	0
粉条	337	35	0	0.1	5.2	0	0.6	0.83	0	0.9	23	9.6	0.01	0.5	11	0.1	83.6	0.16	0	0	0.18	18	14.3	2.18
干豆类
黄豆	359	191	0.2	16	8.2	0	15.5	3.34	0	4.6	465	2.2	0.41	35	199	2.1	18.7	2.26	18.9	37	1.35	1503	10.2	6.16
黑豆	381	224	0.33	15.9	7	0	10.2	4.18	0	4.6	50	3	0.2	36	243	2	23.4	2.83	17.36	5	1.56	1377	9.9	6.79
青豆	373	200	0.18	16	8.4	0	12.6	3.18	0	4.6	395	1.8	0.41	34.5	128	3	22.8	2.25	10.09	132	1.38	718	9.5	5.62
黄豆粉	418	207	0.22	18.3	8.1	0	7	3.89	0	4.7	395	3.6	0.31	32.7	129	2.5	30.6	2	33.69	63	1.39	1890	6.7	2.47
豆腐花	401	175	0.03	2.6	3.3	0	0	0.75	0	1.5	95	0	0.02	10	60	0.4	84.3	0.52	5	42	0.28	339	1.6	1.7
豆浆粉	422	101	0.05	9.4	3.7	0	2.2	1.77	0	2.6	253	26.4	0.07	19.7	122	0.7	64.6	1.24	17.99	0	0.69	771	1.5	3.3
豆粕	310	154	0.2	2.1	14.9	0	7.6	0.5	0	6	28	76	0.49	42.5	158	2.5	30.3	2.49	5.81	0	1.1	1391	11.5	1.5	
豆腐	81	164	0.03	3.7	1.9	0	0.4	1.11	0	1.2	119	7.2	0.04	8.1	27	0.2	3.8	0.47	2.71	0	0.27	125	82.8	2.3
豆浆	14	10	0.02	0.7	0.5	0	1.1	0.24	0	0.2	30	3	0.02	1.8	9	0.1	0	0.09	0.8	15	0.07	48	96.4	0.14
豆奶	30	23	0.06	1.5	0.6	0	0	0.24	5	0.3	35	3.2	0.02	2.4	7	0.3	1.8	0.11	4.5	0	5.57	92	94	0.73
豆汁	10	8	0.02	0.1	0.4	0	0.1	0.11	0	0.2	21	6.5	0.02	0.9	6	0.1	1.3	0	0.34	0	0.05	47	97.4	0.25
酸豆奶	67	32	0	1.2	0.4	0	0	0.21	0	0.3	22	18.6	0.06	2.2	16	0.7	11.8	0.12	1.11	0	0.08	70	84.5	0.2
豆腐丝	201	204	0.12	10.5	9.1	0	1.1	2.04	0	3.4	220	20.6	0.04	21.5	127	0.5	5.1	1.71	9.76	5	0.29	74	58.4	1.39
豆腐卷	201	156	0.04	11.6	6.1	0	1	2.76	0	1.7	288	81.1	0.02	17.9	152	0.4	6.2	1.66	27.63	30	0.42	82	61.6	2.51
豆腐皮	409	116	0.11	17.4	13.9	0	0.2	3.81	0	2.7	318	9.4	0.31	44.6	111	1.5	18.6	3.51	20.63	0	1.86	536	16.5	2.26
油豆腐	244	147	0.04	17.6	5.2	0	0.6	2.03	0	1.7	238	32.5	0.05	17	72	0.3	4.3	1.38	24.7	5	0.3	158	58.8	0.63
腐竹	459	77	0.07	21.7	16.5	0	1	3.69	0	3.5	284	26.5	0.13	44.6	71	0.8	21.3	2.55	27.84	0	1.31	553	7.9	6.65
枝竹	472	49	0.07	24.7	10.8	0	2.7	3.2	0	3.2	490	83	0.11	44.4	162	0.9	18.1	2.9	26.78	0	0.78	837	6.9	6.14
千张	260	313	0.05	16	6.4	0	1	2.52	0	2	309	20.6	0.04	24.5	80	0.2	4.5	1.96	23.38	5	0.46	94	52	1.75
豆腐干	140	308	0.07	3.6	4.9	0	0.8	1.76	0	3.5	273	76.5	0.03	16.2	64	0.3	10.7	1.31	0	0	0.77	140	65.2	0.02
豆肝尖	192	5	0.06	12	7.4	0	5.7	1.9	0	3.8	209	614.5	0.01	17.2	25	0.1	3.7	1.4	37.58	0	0.11	24	57.6	3.19
素大肠	153	445	0.02	3.6	3.8	0	1	4.03	0	2.3	249	144.7	0.02	18.1	56	0.1	12	1.14	0	0	1.06	179	63	0
素火腿	211	8	0.03	13.2	7.3	0	0.9	1.96	0	7.9	115	675.9	0.07	19.1	25	0.1	3.9	1.57	25.99	0	0.16	24	55	3.18
素鸡	192	319	0.03	12.5	5.3	0	0.9	1.74	0	2.5	180	373.8	0.02	16.5	61	0.4	3.3	1.12	17.8	10	0.27	42	64.3	6.73
素鸡丝卷	186	103	0.04	13.7	6	0	5.6	1.52	0	1.5	261	0	0.03	11.2	121	0.5	4.5	1.63	27.72	5	0.22	56	63.5	2.29
素什锦	173	174	0.04	10.2	6	0	2	1.25	0	2.2	186	475.1	0.07	14	45	0.5	6.3	1.06	9.51	0	0.21	143	65.3	2.8
炸素虾	576	251	0.02	44.4	6.3	0	2.7	2.49	0	5.3	245	1440	0.04	27.6	110	1.6	16.6	1.03	50.79	0	0.37	211	3.4	4.3
烤麸	121	30	0.05	0.3	2.7	0	0.2	1.19	0	1.4	72	230	0.04	20.4	38	1.2	9.1	0.73	0.42	0	0.25	25	68.6	0
绿豆	316	81	0.11	0.8	6.5	0	6.4	2.18	0	3.3	337	3.2	0.25	21.6	125	2	55.6	1.11	10.95	22	1.08	787	12.3	4.28
绿豆面	330	134	0.12	0.7	8.1	0	5.8	2.68	0	3.1	304	3.3	0.45	20.8	0	0.7	60	0	0	15	1.55	1055	9.6	10.58
绿豆饼	122	18	0.02	1.2	1	0	0	0.422	0	1.2	25	3.1	0.07	15.2	2	0	12.7	0.31	0	0	0.19	16	69.7	0
赤小豆	309	74	0.11	0.6	7.4	0	7.7	2.2	0	3.2	305	2.2	0.16	20.2	138	2	55.7	1.33	14.36	13	0.64	860	12.6	3.8
小豆粥	61	13	0	0.4	0.6	0	0.6	0.33	0	0.3	14	2.3	0	1.2	17	0.2	13.1	0.09	0.19	0	0.03	45	84.4	0.5
豆沙	243	42	0.05	1.9	8	0	1.7	0.32	0	0.7	68	23.5	0.03	5.5	2	0.3	51	0.33	4.37	0	0.13	139	39.2	0.89
红豆馅	240	2	0.05	3.6	1	0	7.9	0.89	0	0.6	89	3.3	0.04	4.8	13	1.7	47.2	0.25	9.17	0	0.13	226	35.9	0.71
花豆	317	38	0	1.3	0.3	0	5.5	1.27	0	2.1	48	12.5	0.25	19.1	17	3	57.2	1.22	6.13	72	0.94	358	14.8	19.05
芸豆	296	0	0.26	1.4	0	0	9.8	0	0	3.6	0	0	0.18	36.4	0	2.4	47.4	0	6.16	0	0	0	14.4	0
蚕豆	335	31	0.13	1	8.2	2	1.7	3.42	0	2.7	418	86	0.09	21.6	57	1.9	59.8	1.09	1.6	0	0.99	1117	13.2	1.3
马牙大豆	321	7	0.05	0.9	1.3	0	8.4	2.61	0	2.9	510	87	0.59	27.2	89	0	51	0.79	2.49	0	2.63	181	9.6	0.77
脑豆	360	327	0.28	3.8	7.7	0	1.5	2.45	0	2.5	354	12	0.35	23.4	171	2.9	58.1	2.05	19.21	0	1.14	686	10.7	7.34
扁豆	326	137	0.45	0.4	19.2	0	6.5	1.9	0	2.5	128	2.3	0.26	25.3	92	2.6	55.4	1.19	1.86	5	1.27	439	9.9	32
眉豆	320	60	0.18	1.1	5.5	0	6.6	4.7	0	2.7	310	86.5	0.15	18.6	171	2.1	59	2.14	12.29	0	0.86	525	12	2.89
豇豆	322	40	0.08	1.2	7.1	0	7.1	3.04	0	3	344	6.8	0.16	19.3	36	1.9	58.5	1.07	8.61	10	2.1	737	10.9	5.74
豌豆	313	97	0.14	1.1	4.9	0	10.4	2.35	0	2.4	259	9.7	0.49	20.3	118	2.4	55.4	1.15	8.47	42	0.47	823	10.4	1.69
荆豆	396	207	0.25	14.3	7.3	0	5.2	0	0	4.6	785	0	0	43.6	0	1.8	23.3	0	0	42	0	0	9	0
木豆	340	231	0	4.5	12.5	0	3.7	0	0	6.2	528	0	0.66	19.8	0	0	55.1	0	0	0	0	0	10.7	0
蔬菜类
白萝卜	21	36	0.03	0.1	0.5	21	1	0.3	0	0.6	26	61.8	0.02	0.9	16	0.3	4	0.09	0.92	3	0.04	173	93.4	0.61
红萝卜	20	11	0.02	0.1	2.8	3	0.8	0.69	0	0.5	26	62.7	0.05	1	16	0.1	3.8	0.06	1.2	0	0	110	93.8	0	
花叶萝卜	43	16	0.02	0.1	3.1	3	2.1	0.74	0	0.5	25	47.2	0.01	1.2	20	0	9.4	0.08	0.4	0	0	104	86.7	0.07
青萝卜	31	40	0.06	0.2	0.8	14	0.8	0.34	0	0.7	34	69.9	0.04	1.3	12	0	6	0.12	0.22	10	0.02	232	91	0.59
水萝卜	20	0	0.05	0	0	45	1.4	0.49	0	0.8	0	9.7	0.03	0.8	0	0	4.1	0.05	0	42	0.01	0	92.9	0
芥菜头	33	65	0.02	0.2	0.8	34	1.4	0.39	0	0.9	36	65.6	0.06	1.9	19	0.6	6	0.15	0.2	0	0.09	243	89.6	0.95
苤蓝	30	25	0.02	0.2	0.3	41	1.3	0.17	0	0.7	46	29.8	0.04	1.3	24	0.5	5.7	0.11	0.13	3	0.02	190	90.8	0.16
甜菜根	75	56	0.04	0.1	0.9	8	2.9	0.31	0	0.6	18	20.8	0.05	1	38	0.2	17.6	0.83	1.85	0	0.15	254	74.8	0.29
刀豆	36	49	0.07	0.3	4.6	15	1.8	0.84	0	0.6	57	8.5	0.05	3.1	29	1	5.2	0.45	0.4	37	0.09	209	89	0.88
豆角	30	29	0.07	0.2	1.5	18	2.1	0.54	0	0.6	55	3.4	0.05	2.5	35	0.9	4.6	0.41	2.24	33	0.15	207	90	2.16
荷兰豆	27	51	0.04	0.3	0.9	16	1.4	0.5	0	0.4	19	8.8	0.09	2.5	16	0.7	3.5	0.48	0.3	80	0.06	116	91.9	0.42
龙豆	32	147	0.06	0.5	1.3	11	1.9	0.46	0	0.8	54	4.1	0.04	3.7	46	1	3.1	0.19	0.77	87	0.35	142	90	4.06
龙牙豆	17	30	0.54	0.2	0.8	12	1.3	0.47	0	0.4	38	1.8	0.01	2.6	20	0.8	1.1	0.6	0	87	0.07	200	94.4	5.6
毛豆	123	135	0.07	5	3.5	27	4	1.73	0	1.8	188	3.9	0.15	13.1	70	1.4	6.5	1.2	2.44	22	0.54	478	69.6	2.48
四季豆	28	42	0.07	0.4	1.5	6	1.5	0.23	0	0.6	51	8.6	0.04	2	27	0.4	4.2	0.18	1.24	35	0.11	123	91.3	0.43
垅船豆	34	37	0.02	0.4	1.3	1.	1.3	0.22	0	0.5	0	0.9	0.04	2	22	0.3	5.5	0	0	13	0.06	192	90.3	0
黄豆芽	44	21	0.07	1.6	0.9	8	1.5	0.54	0	0.6	74	7.2	0.04	4.5	21	0.6	3	0.34	0.8	5	0.14	160	88.8	0.96
绿豆芽	18	9	0.06	0.1	0.6	6	0.8	0.35	0	0.3	37	4.4	0.05	2.1	18	0.5	2.1	0.1	0.19	2	0.1	68	96.6	0.5
豌豆苗	34	40	0.11	0.8	4.2	67	1.9	0.77	0	1	37	18.5	0.05	4	21	1.1	2.7	0.76	2.46	445	0.2	222	89.6	1.09
茄子	21	24	0.04	0.2	0.5	5	1.3	0.23	0	0.4	23	5.4	0.02	1.1	13	0.6	3.6	0.13	1.13	8	0.1	142	93.4	0.48
番茄	19	10	0.03	0.2	0.4	19	0.5	0.13	0	0.5	23	5	0.03	0.9	9	0.6	3.5	0.08	0.57	92	0.06	163	94.4	0.15
红辣椒	212	12	0.16	12	6	0	41.7	8.21	0	5.7	298	4	0.53	15	131	1.2	11	11.7	8.76	0	0.61	1085	14.6	0
青辣椒	23	15	0.04	0.3	0.7	62	2.1	0.22	0	0.6	33	2.2	0.03	1.4	15	0.5	3.7	0.14	0.88	57	0.11	209	91.9	0.62
甜椒	22	14	0.03	0.2	0.8	72	1.4	0.19	0	0.4	20	3.3	0.03	1	12	0.9	4	0.12	0.59	57	0.09	142	93	0.38
